0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:05:39 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:05:39 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:12:48 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 500 2320
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:12:52 +0900] "GET /JSP_Study_MVC_M2/getBoardList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:12:52 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:12:56 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:12:56 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:13:00 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:13:00 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:13:06 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:13:06 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:13:10 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:13:10 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:13:18 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:13:18 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:13:23 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:13:23 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:13:26 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:13:26 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:14:23 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:14:23 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:14:30 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:14:30 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:14:35 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:14:35 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:14:40 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:14:40 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:15:05 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:15:05 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:25:38 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:25:38 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:25:41 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:25:41 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:54:58 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:54:58 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:03 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=4 HTTP/1.1" 302 -
